,fingerprint,lookup,recall1,recall5,recall10
616,1.4995014667510986,0.03700089454650879,True,True,True
617,0.1484992504119873,0.0014994144439697266,True,True,True
618,0.15700459480285645,0.0015001296997070312,True,True,True
619,0.1484999656677246,0.001499176025390625,True,True,True
620,0.14800071716308594,0.0010004043579101562,True,True,True
621,0.1509997844696045,0.00099945068359375,True,True,True
622,0.15049958229064941,0.0010004043579101562,True,True,True
623,0.15149998664855957,0.0009999275207519531,True,True,True
624,0.1555008888244629,0.001499176025390625,True,True,True
625,0.1504971981048584,0.0010001659393310547,True,True,True
626,0.14749908447265625,0.0010001659393310547,True,True,True
627,0.15000247955322266,0.0015001296997070312,True,True,True
628,0.1484997272491455,0.0009999275207519531,True,True,True
629,0.14899706840515137,0.0015015602111816406,True,True,True
630,0.15200233459472656,0.0010001659393310547,True,True,True
631,0.15399622917175293,0.002001523971557617,True,True,True
632,0.15000009536743164,0.0010008811950683594,True,True,True
633,0.1510000228881836,0.0009999275207519531,True,True,True
634,0.1490013599395752,0.0014986991882324219,True,True,True
635,0.1515030860900879,0.0015001296997070312,True,True,True
636,0.1465003490447998,0.0015015602111816406,True,True,True
637,0.15349912643432617,0.0009999275207519531,True,True,True
638,0.14950275421142578,0.0009999275207519531,True,True,True
639,0.15349984169006348,0.0010001659393310547,True,True,True
640,0.14749717712402344,0.00099945068359375,True,True,True
641,0.14800095558166504,0.00099945068359375,True,True,True
642,0.14950251579284668,0.0009992122650146484,True,True,True
643,0.15149879455566406,0.0050008296966552734,True,True,True
644,0.16249990463256836,0.008999824523925781,True,True,True
645,0.18449831008911133,0.0045015811920166016,True,True,True
646,0.16950035095214844,0.011501073837280273,True,True,True
647,0.18000078201293945,0.004000425338745117,True,True,True
648,0.16950058937072754,0.0034983158111572266,True,True,True
649,0.1614992618560791,0.009499549865722656,True,True,True
650,0.1725010871887207,0.004499912261962891,True,True,True
651,0.16700029373168945,0.00699925422668457,True,True,True
652,0.15950322151184082,0.007999897003173828,True,True,True
653,0.16100168228149414,0.0034999847412109375,True,True,True
654,0.16249752044677734,0.002999544143676758,True,True,True
655,0.16199994087219238,0.003498554229736328,True,True,True
656,0.16700077056884766,0.10850048065185547,True,True,True
657,0.14749979972839355,0.0010008811950683594,True,True,True
658,0.14599990844726562,0.0010013580322265625,True,True,True
659,0.14750027656555176,0.0010006427764892578,True,True,True
660,0.1485002040863037,0.0009989738464355469,True,True,True
661,0.15200090408325195,0.0009999275207519531,True,True,True
662,0.14599871635437012,0.0010013580322265625,True,True,True
663,0.1464998722076416,0.0010001659393310547,True,True,True
664,0.146500825881958,0.0009984970092773438,True,True,True
665,0.16500020027160645,0.0010001659393310547,True,True,True
666,0.14750123023986816,0.00099945068359375,True,True,True
667,0.14750123023986816,0.0009984970092773438,True,True,True
668,0.15849971771240234,0.0010001659393310547,True,True,True
669,0.15250015258789062,0.0010013580322265625,True,True,True
670,0.1470019817352295,0.0010001659393310547,True,True,True
671,0.14699769020080566,0.0010004043579101562,True,True,True
672,0.14400029182434082,0.0009984970092773438,True,True,True
673,0.1465001106262207,0.0010013580322265625,True,True,True
674,0.1484994888305664,0.0010006427764892578,True,True,True
675,0.15150117874145508,0.0009999275207519531,True,True,True
676,0.14800286293029785,0.0009999275207519531,True,True,True
677,0.1465003490447998,0.0009999275207519531,True,True,True
678,0.14699888229370117,0.0010006427764892578,True,True,True
679,0.1464982032775879,0.0024995803833007812,True,True,True
680,0.15349936485290527,0.003000020980834961,True,True,True
681,0.1640000343322754,0.003001689910888672,True,True,True
682,0.15600275993347168,0.017499923706054688,True,True,True
683,0.15749812126159668,0.005499601364135742,True,True,True
684,0.1594994068145752,0.004500627517700195,True,True,True
685,0.16299986839294434,0.004999399185180664,True,True,True
686,0.15900158882141113,0.004499912261962891,True,True,True
687,0.1680002212524414,0.008499622344970703,True,True,True
688,0.1569993495941162,0.005499601364135742,True,True,True
689,0.15849924087524414,0.00400090217590332,True,True,True
690,0.15700173377990723,0.00550079345703125,True,True,True
691,0.16550064086914062,0.0064983367919921875,True,True,True
692,0.1634993553161621,0.003999233245849609,True,True,True
693,0.17300009727478027,0.01050114631652832,True,True,True
694,0.17049932479858398,0.004000186920166016,True,True,True
695,0.16200017929077148,0.009499549865722656,True,True,True
696,0.16100025177001953,0.0039997100830078125,True,True,True
697,0.16300201416015625,0.004500150680541992,True,True,True
698,0.16199707984924316,0.012000560760498047,True,True,True
699,0.1829996109008789,0.011000394821166992,True,True,True
700,0.1830000877380371,0.009000062942504883,True,True,True
701,0.18449950218200684,0.01300668716430664,True,True,True
702,0.1875002384185791,0.1700000762939453,True,True,True
703,0.14949941635131836,0.0010001659393310547,True,True,True
704,0.14400076866149902,0.0009999275207519531,True,True,True
705,0.14699983596801758,0.0015001296997070312,True,True,True
706,0.1445002555847168,0.0009999275207519531,True,True,True
707,0.14799952507019043,0.0009999275207519531,True,True,True
708,0.14700055122375488,0.001001119613647461,True,True,True
709,0.14749979972839355,0.001499176025390625,True,True,True
710,0.16899895668029785,0.0009992122650146484,True,True,True
711,0.18100261688232422,0.0009992122650146484,True,True,True
712,0.14699959754943848,0.0015003681182861328,True,True,True
713,0.14750003814697266,0.001500844955444336,True,True,True
714,0.14549732208251953,0.0009999275207519531,True,True,True
715,0.14799976348876953,0.0010004043579101562,True,True,True
